week_past,is_holiday,age_price_wsum,Make,AccidentArea,Sex,MaritalStatus,Fault,VehicleCategory,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,FraudFound
51,0,9,7,2,1,1,1,1,12,300,1,5,3,0,4,2,2,1,1,3,3,3,1
1,0,12,7,2,2,1,1,1,15,400,4,5,3,0,5,1,2,1,1,1,1,2,1
1,0,1,7,2,2,2,1,1,7,400,3,5,3,1,7,2,2,1,1,1,1,2,1
4,0,10,18,1,2,2,2,1,4,400,2,5,3,1,8,1,2,1,4,1,1,3,1
1,0,5,7,2,1,1,2,1,3,400,1,5,3,0,5,2,2,1,1,1,1,2,1
1,0,1,7,2,2,1,2,1,12,400,3,5,3,0,3,2,2,1,3,1,1,2,1
2,0,1,7,2,2,2,2,1,14,400,1,5,3,1,6,2,2,1,2,1,1,2,1
32,0,1,7,2,2,1,1,1,1,400,4,5,3,1,1,2,2,1,1,1,1,2,1
1,0,12,7,2,2,1,1,1,7,400,4,5,3,0,5,2,1,1,3,1,1,2,1
0,0,14,6,2,2,2,1,3,7,400,1,5,3,2,6,2,2,1,3,1,1,1,1
1,0,2,10,2,2,1,1,2,7,400,3,5,3,0,9,2,2,1,1,1,1,1,1
0,0,10,7,2,2,2,1,1,13,400,1,5,3,2,7,2,2,1,1,1,1,3,1
0,0,13,6,2,2,2,1,1,11,400,1,5,3,1,5,2,2,1,1,1,1,3,1
0,0,1,7,1,2,1,2,2,12,400,3,5,3,0,1,2,2,1,1,1,1,2,1
0,0,14,6,2,2,2,1,1,3,400,1,5,3,0,8,2,2,1,1,1,1,3,1
1,0,0,6,2,2,1,1,1,16,400,1,5,3,0,6,2,2,1,1,1,1,3,1
2,0,7,6,2,2,2,1,2,15,400,4,5,3,0,6,2,2,1,1,1,1,1,1
0,0,9,3,2,1,2,2,2,6,400,1,5,3,0,5,2,2,1,2,1,1,2,1
